DATE,INPUT,OUTPUT,USERNAME
2022-06-11 22:18:16.413620,apakah cara untuk kurangkan kebimbangan?," Selalunya, herotan kognitif adalah masalahnya. Beberapa herotan kognitif yang biasa termasuk ""meramalkan yang paling teruk"" atau meramalkan masa depan. Saya nasihatkan awak membaca petua CBT (terapi tingkah laku kognitif), lembaran kerja, buku kecil dsb. dalam talian, atau hubungi ahli terapi CBT tempatan.",ImranIsmael
2022-06-11 22:18:26.675354,apakah cara terbaik untuk kurangkan anxiety," Selalunya, herotan kognitif adalah masalahnya. Beberapa herotan kognitif yang biasa termasuk ""meramalkan yang paling teruk"" atau meramalkan masa depan. Saya nasihatkan awak membaca petua CBT (terapi tingkah laku kognitif), lembaran kerja, buku kecil dsb. dalam talian, atau hubungi ahli terapi CBT tempatan.",ImranIsmael
2022-06-11 22:18:43.461183,saya bimbang tentang sesuatu,"Kebimbangan atau serangan panik boleh menjadi sangat menakutkan. Berikut ialah beberapa ""alat"" yang boleh awak gunakan yang akan membantu dalam jangka pendek: Menyibukkan fikiran awak dengan mendengar buku pada pita boleh membantu; Mengira ke belakang dari 100 dalam 7; Menamakan bawakr yang bermula dengan setiap huruf abjad; ",ImranIsmael
2022-06-11 22:18:54.617535,saya banyak berfikir tentang sesuatu,"Kebimbangan atau serangan panik boleh menjadi sangat menakutkan. Berikut ialah beberapa ""alat"" yang boleh awak gunakan yang akan membantu dalam jangka pendek: Menyibukkan fikiran awak dengan mendengar buku pada pita boleh membantu; Mengira ke belakang dari 100 dalam 7; Menamakan bawakr yang bermula dengan setiap huruf abjad; ",ImranIsmael
2022-06-11 22:19:07.578603,saya risau tentang sesuatu,"Kebimbangan atau serangan panik boleh menjadi sangat menakutkan. Berikut ialah beberapa ""alat"" yang boleh awak gunakan yang akan membantu dalam jangka pendek: Menyibukkan fikiran awak dengan mendengar buku pada pita boleh membantu; Mengira ke belakang dari 100 dalam 7; Menamakan bawakr yang bermula dengan setiap huruf abjad; ",ImranIsmael
2022-06-11 22:19:14.610928,adakah saya ada anxiety?,"Helo, dan terima kasih atas soalan awak. Pertama, saya ingin awak tahu bahawa awak pastinya tidak bersendirian dalam isu ini. Semua orang, pada satu ketika tertentu, mempunyai ketakutan untuk dimalukan awam. Tetapi bagi kebanyakan orang, ketakutan ini boleh menjadi sangat mengerikan sehingga mula memberi kesan negatif yang nyata terhadap kualiti hidup mereka.",ImranIsmael
2022-06-11 22:19:23.723653,adakah saya ada kebimbangan>,"Helo, dan terima kasih atas soalan awak. Pertama, saya ingin awak tahu bahawa awak pastinya tidak bersendirian dalam isu ini. Semua orang, pada satu ketika tertentu, mempunyai ketakutan untuk dimalukan awam. Tetapi bagi kebanyakan orang, ketakutan ini boleh menjadi sangat mengerikan sehingga mula memberi kesan negatif yang nyata terhadap kualiti hidup mereka.",ImranIsmael
2022-06-11 22:19:41.077150,bolehkah saya tau jika saya ada depression?,"Ya, awak boleh klik ujian PHQ-9 pada bahagian menu dan mengetahui skor awak",ImranIsmael
2022-06-11 22:20:03.428876,saya ada depression ke?,"Helo, dan terima kasih atas soalan awak. Pertama, saya ingin awak tahu bahawa awak pastinya tidak bersendirian dalam isu ini. Semua orang, pada satu ketika tertentu, mempunyai ketakutan untuk dimalukan awam. Tetapi bagi kebanyakan orang, ketakutan ini boleh menjadi sangat mengerikan sehingga mula memberi kesan negatif yang nyata terhadap kualiti hidup mereka.",ImranIsmael
2022-06-11 22:20:09.042084,macam mana nak kira score depression saya,"Ya, awak boleh klik ujian PHQ-9 pada bahagian menu dan mengetahui skor awak",ImranIsmael
2022-06-11 22:20:22.733378,macam mana nak tau tahap depression saya,"Ya, awak boleh klik ujian PHQ-9 pada bahagian menu dan mengetahui skor awak",ImranIsmael
2022-06-11 22:20:30.831620,saya ada anxiety ke?,"Helo, dan terima kasih atas soalan awak. Pertama, saya ingin awak tahu bahawa awak pastinya tidak bersendirian dalam isu ini. Semua orang, pada satu ketika tertentu, mempunyai ketakutan untuk dimalukan awam. Tetapi bagi kebanyakan orang, ketakutan ini boleh menjadi sangat mengerikan sehingga mula memberi kesan negatif yang nyata terhadap kualiti hidup mereka.",ImranIsmael
2022-06-11 22:20:43.404479,mana mana nak tau kalau saya ada anxiety?,"Ya, awak boleh klik ujian GAD-7 pada bahagian menu dan mengetahui skor awak",ImranIsmael
2022-06-11 22:21:12.180422,bolehkah saya mengetahui kalau saya ada anxiety?,"Ya, awak boleh klik ujian GAD-7 pada bahagian menu dan mengetahui skor awak",ImranIsmael
2022-06-11 22:21:26.514983,saya nak bunuh diri,"OkBot mendapati situasi ini melebehi kebatasan okBot. Saya minta maaf ini terjadi pada awak. Berikut adalah perkara yang boleh anda lakukan: 
1. Hubungi Befrienders Kuala Lumpur(03-76272929)
2. Untuk kecemasan hubungi MERS (999)",ImranIsmael
2022-06-11 22:21:37.298125,saya rasa macam nak bunuh diri,"OkBot mendapati situasi ini melebehi kebatasan okBot. Saya minta maaf ini terjadi pada awak. Berikut adalah perkara yang boleh anda lakukan: 
1. Hubungi Befrienders Kuala Lumpur(03-76272929)
2. Untuk kecemasan hubungi MERS (999)",ImranIsmael
2022-06-11 22:21:48.920880,saya rasa nak terjun bangunan,"OkBot mendapati situasi ini melebehi kebatasan okBot. Saya minta maaf ini terjadi pada awak. Berikut adalah perkara yang boleh anda lakukan: 
1. Hubungi Befrienders Kuala Lumpur(03-76272929)
2. Untuk kecemasan hubungi MERS (999)",ImranIsmael
2022-06-11 22:21:55.406077,saya nak kelar tangan,"OkBot mendapati situasi ini melebehi kebatasan okBot. Saya minta maaf ini terjadi pada awak. Berikut adalah perkara yang boleh anda lakukan: 
1. Hubungi Befrienders Kuala Lumpur(03-76272929)
2. Untuk kecemasan hubungi MERS (999)",ImranIsmael
2022-06-11 22:21:59.823411,saya nak terjun,"OkBot mendapati situasi ini melebehi kebatasan okBot. Saya minta maaf ini terjadi pada awak. Berikut adalah perkara yang boleh anda lakukan: 
1. Hubungi Befrienders Kuala Lumpur(03-76272929)
2. Untuk kecemasan hubungi MERS (999)",ImranIsmael
