DATE,INPUT,OUTPUT,INTENT,ACTUAL INTENT,TARGET,ACCURACY
21:06.4,saya nak kurangkan anxiety," Selalunya, herotan kognitif adalah masalahnya. Beberapa herotan kognitif yang biasa termasuk ""meramalkan yang paling teruk"" atau meramalkan masa depan. Saya nasihatkan awak membaca petua CBT (terapi tingkah laku kognitif), lembaran kerja, buku kecil dsb. dalam talian, atau hubungi ahli terapi CBT tempatan.",anxiety1,anxiety1,1,1
21:14.5,saya nak bunuh diri,"OkBot mendapati situasi ini melebehi kebatasan okBot. Saya minta maaf ini terjadi pada awak. Berikut adalah perkara yang boleh anda lakukan: 
1. Hubungi Befrienders Kuala Lumpur(03-76272929)
2. Untuk kecemasan hubungi MERS (999)",emergency,emergency,1,1
22:14.7,saya nak kelar tangan,"OkBot mendapati situasi ini melebehi kebatasan okBot. Saya minta maaf ini terjadi pada awak. Berikut adalah perkara yang boleh anda lakukan: 
1. Hubungi Befrienders Kuala Lumpur(03-76272929)
2. Untuk kecemasan hubungi MERS (999)",emergency,emergency,1,1
22:35.5,saya ada anxiety ke?,"Helo, dan terima kasih atas soalan awak. Pertama, saya ingin awak tahu bahawa awak pastinya tidak bersendirian dalam isu ini. Semua orang, pada satu ketika tertentu, mempunyai ketakutan untuk dimalukan awam. Tetapi bagi kebanyakan orang, ketakutan ini boleh menjadi sangat mengerikan sehingga mula memberi kesan negatif yang nyata terhadap kualiti hidup mereka.",anxiety4,anxiety4,1,1
22:57.3,macam mana nak tau score anxiety saya?,"Ya, awak boleh klik ujian GAD-7 pada bahagian menu dan mengetahui skor awak",GAD,GAD,1,1
24:04.4,sayaa ada depression ke?,Sama-sama awak,Thanks,PHQ,0,0
24:11.3,saya nak bunuh diri,"OkBot mendapati situasi ini melebehi kebatasan okBot. Saya minta maaf ini terjadi pada awak. Berikut adalah perkara yang boleh anda lakukan: 
1. Hubungi Befrienders Kuala Lumpur(03-76272929)
2. Untuk kecemasan hubungi MERS (999)",emergency,emergency,1,1
24:16.7,saya nak mengetahui saya adda anxiety ke?,"OkBot mendapati situasi ini melebehi kebatasan okBot. Saya minta maaf ini terjadi pada awak. Berikut adalah perkara yang boleh anda lakukan: 
1. Hubungi Befrienders Kuala Lumpur(03-76272929)
2. Untuk kecemasan hubungi MERS (999)",emergency,emergency,1,1
24:30.1,saya ada anxiety ke?,"Helo, dan terima kasih atas soalan awak. Pertama, saya ingin awak tahu bahawa awak pastinya tidak bersendirian dalam isu ini. Semua orang, pada satu ketika tertentu, mempunyai ketakutan untuk dimalukan awam. Tetapi bagi kebanyakan orang, ketakutan ini boleh menjadi sangat mengerikan sehingga mula memberi kesan negatif yang nyata terhadap kualiti hidup mereka.",anxiety4,anxiety4,1,1
24:36.8,macam mana nak tau saya ada depression,"Ya, awak boleh klik ujian PHQ-9 pada bahagian menu dan mengetahui skor awak",PHQ,PHQ,1,1
24:56.0,hello,"Hai awak, awak okay?",greetings,greetings,1,1
25:12.4,saya nak terjun bangunan?,"OkBot mendapati situasi ini melebehi kebatasan okBot. Saya minta maaf ini terjadi pada awak. Berikut adalah perkara yang boleh anda lakukan: 
1. Hubungi Befrienders Kuala Lumpur(03-76272929)
2. Untuk kecemasan hubungi MERS (999)",emergency,emergency,1,1
25:19.6,macam mana nak kurangkan anxiety ?," Selalunya, herotan kognitif adalah masalahnya. Beberapa herotan kognitif yang biasa termasuk ""meramalkan yang paling teruk"" atau meramalkan masa depan. Saya nasihatkan awak membaca petua CBT (terapi tingkah laku kognitif), lembaran kerja, buku kecil dsb. dalam talian, atau hubungi ahli terapi CBT tempatan.",anxiety1,anxiety1,1,1
25:29.8,saya tidak selesa dengan orang lain,Apa yang awak alami ialah kebimbangan (anxiety). Jangan risau awak tidak bersendirian dalam pengalaman ini!,anxiety,anxiety,1,1
25:47.6,saya kurang selesa,"OkBot mendapati situasi ini melebehi kebatasan okBot. Saya minta maaf ini terjadi pada awak. Berikut adalah perkara yang boleh anda lakukan: 
1. Hubungi Befrienders Kuala Lumpur(03-76272929)
2. Untuk kecemasan hubungi MERS (999)",emergency,anxiety,0,0
25:52.7,saya kurang selesa di tempat awam,Apa yang awak alami ialah kebimbangan (anxiety). Jangan risau awak tidak bersendirian dalam pengalaman ini!,anxiety,anxiety,1,1
25:59.8,saya risau tentang sesuatu,"Kebimbangan atau serangan panik boleh menjadi sangat menakutkan. Berikut ialah beberapa ""alat"" yang boleh awak gunakan yang akan membantu dalam jangka pendek: Menyibukkan fikiran awak dengan mendengar buku pada pita boleh membantu; Mengira ke belakang dari 100 dalam 7; Menamakan bawakr yang bermula dengan setiap huruf abjad; ",anxiety2,anxiety2,1,1
26:27.9,saya bimbang tentang sesuatu,"Kebimbangan atau serangan panik boleh menjadi sangat menakutkan. Berikut ialah beberapa ""alat"" yang boleh awak gunakan yang akan membantu dalam jangka pendek: Menyibukkan fikiran awak dengan mendengar buku pada pita boleh membantu; Mengira ke belakang dari 100 dalam 7; Menamakan bawakr yang bermula dengan setiap huruf abjad; ",anxiety2,anxiety2,1,1
,,,,,,
,,,,,TOTAL ,40/50
,,,,,80% Accuracy,
